"","track_name","movie_title","trilogy","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence"
"56","Panaka and the Queen's Protectors","The Phantom Menace","Prequel",0.366,0.481,0.128,0.594,0.695,0.306,0.177
"57","Queen Amidala and the Naboo Palace","The Phantom Menace","Prequel",0.17,0.0413,0.0384,0.798,0.888,0.0924,0.034
"58","The Droid Invasion and the Appearance of Darth Maul","The Phantom Menace","Prequel",0.274,0.242,0.0461,0.781,0.874,0.0999,0.0393
"59","Qui-Gon's Noble End","The Phantom Menace","Prequel",0.289,0.282,0.0475,0.254,0.34,0.108,0.138
"60","The High Council Meeting and Qui-Gon's Funeral","The Phantom Menace","Prequel",0.077,0.072,0.0396,0.886,0.862,0.113,0.0345
"61","Augie's Great Municipal Band and End Credits","The Phantom Menace","Prequel",0.217,0.407,0.0812,0.45,0.919,0.235,0.0654
"62","Star Wars Main Title and Ambush on Coruscant","Attack of the Clones","Prequel",0.0911,0.286,0.0422,0.645,0.944,0.203,0.0515
"63","Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")","Attack of the Clones","Prequel",0.116,0.13,0.0355,0.774,0.914,0.111,0.0666
"64","Zam the Assassin and the Chase Through Coruscant","Attack of the Clones","Prequel",0.424,0.315,0.0526,0.621,0.727,0.112,0.0584
"65","Yoda and the Younglings","Attack of the Clones","Prequel",0.128,0.00892,0.0419,0.982,0.962,0.107,0.0475
"66","Departing Coruscant","Attack of the Clones","Prequel",0.125,0.0314,0.0392,0.973,0.957,0.114,0.0383
"67","Anakin and Padmé","Attack of the Clones","Prequel",0.171,0.0127,0.041,0.979,0.945,0.0985,0.038
"68","Jango's Escape","Attack of the Clones","Prequel",0.353,0.394,0.0393,0.725,0.919,0.116,0.195
"69","The Meadow Picnic","Attack of the Clones","Prequel",0.145,0.0669,0.0384,0.874,0.836,0.098,0.0595
"70","Bounty Hunter's Pursuit","Attack of the Clones","Prequel",0.164,0.109,0.041,0.789,0.867,0.0812,0.0392
"71","Return to Tatooine","Attack of the Clones","Prequel",0.0844,0.0501,0.0371,0.87,0.94,0.095,0.0361
"72","The Tusken Camp and the Homestead","Attack of the Clones","Prequel",0.108,0.0463,0.0455,0.835,0.926,0.134,0.0372
"73","Love Pledge and the Arena","Attack of the Clones","Prequel",0.225,0.306,0.0398,0.584,0.859,0.106,0.0537
"74","Confrontation with Count Dooku and Finale","Attack of the Clones","Prequel",0.11,0.173,0.0372,0.773,0.924,0.16,0.0518
"75","Star Wars and the Revenge of the Sith","Revenge of the Sith","Prequel",0.267,0.405,0.0605,0.377,0.848,0.163,0.21
"76","Anakin's Dream","Revenge of the Sith","Prequel",0.138,0.0302,0.0428,0.883,0.918,0.251,0.0376
"77","Battle of the Heroes","Revenge of the Sith","Prequel",0.174,0.298,0.033,0.783,0.953,0.14,0.133
"78","Anakin's Betrayal","Revenge of the Sith","Prequel",0.143,0.174,0.0354,0.772,0.925,0.091,0.0385
"79","General Grievous","Revenge of the Sith","Prequel",0.31,0.45,0.0479,0.41,0.748,0.0959,0.18
"80","Palpatine's Teachings","Revenge of the Sith","Prequel",0.0655,0.0122,0.0386,0.865,0.954,0.116,0.0366
"81","Grievous and the Droids","Revenge of the Sith","Prequel",0.223,0.406,0.0417,0.525,0.913,0.245,0.124
"82","Padmé's Ruminations","Revenge of the Sith","Prequel",0.0881,0.0103,0.0464,0.0913,0.889,0.109,0.0321
"83","Anakin vs. Obi-Wan","Revenge of the Sith","Prequel",0.324,0.42,0.0359,0.576,0.795,0.116,0.145
"84","Anakin's Dark Deeds","Revenge of the Sith","Prequel",0.138,0.152,0.0334,0.823,0.886,0.0963,0.0925
"85","Enter Lord Vader","Revenge of the Sith","Prequel",0.112,0.143,0.0363,0.746,0.889,0.091,0.0365
"86","The Immolation Scene","Revenge of the Sith","Prequel",0.0879,0.128,0.0382,0.566,0.932,0.109,0.0398
"87","Grievous Speaks to Lord Sidious","Revenge of the Sith","Prequel",0.12,0.133,0.0393,0.857,0.867,0.106,0.0616
"88","The Birth of the Twins and Padmé's Destiny","Revenge of the Sith","Prequel",0.0604,0.147,0.0378,0.925,0.783,0.0744,0.0364
"89","A New Hope and End Credits","Revenge of the Sith","Prequel",0.191,0.303,0.0316,0.719,0.929,0.181,0.0901
"90","Main Title and The Attack on the Jakku Village","The Force Awakens","Sequel",0.188,0.314,0.0358,0.838,0.902,0.128,0.0382
