"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","track_name","track_number","album_name","key_name","mode_name","key_mode"
"John Williams","2017-12-15",2017,0.0647,0.0675,1,-18.226,0,0.0434,0.94,0.889,0.326,0.104,72.357,129320,"Lesson One",8,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","C#","minor","C# minor"
"John Williams","2017-12-15",2017,0.468,0.348,2,-13.454,0,0.0495,0.496,0.00113,0.117,0.305,127.17,157600,"Canto Bight",9,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2017-12-15",2017,0.129,0.0413,4,-23.724,0,0.0372,0.843,0.868,0.138,0.036,75.926,184226,"Who Are You?",10,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","E","minor","E minor"
"John Williams","2017-12-15",2017,0.341,0.386,9,-12.703,0,0.035,0.769,0.86,0.154,0.317,80.83,162040,"The Fathiers",11,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","A","minor","A minor"
"John Williams","2017-12-15",2017,0.166,0.0926,5,-26.193,0,0.0523,0.491,0.872,0.135,0.0268,112.334,179080,"The Cave",12,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","F","minor","F minor"
"John Williams","2017-12-15",2017,0.12,0.0461,2,-18.917,0,0.0365,0.952,0.822,0.342,0.0334,87.813,212120,"The Sacred Jedi Texts",13,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2017-12-15",2017,0.223,0.353,5,-12.316,0,0.0391,0.713,0.842,0.151,0.102,147.98,193186,"A New Alliance",14,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","F","minor","F minor"
"John Williams","2017-12-15",2017,0.324,0.343,6,-12.834,0,0.0399,0.617,0.867,0.137,0.114,87.608,121613,"“Chrome Dome”",15,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","F#","minor","F# minor"
"John Williams","2017-12-15",2017,0.201,0.449,2,-11.541,1,0.0455,0.764,0.91,0.425,0.0907,74.858,407693,"The Battle of Crait",16,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","D","major","D major"
"John Williams","2017-12-15",2017,0.14,0.0744,6,-17.275,1,0.0356,0.942,0.873,0.0936,0.0347,100.174,215613,"The Spark",17,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","F#","major","F# major"
